ID	103post	103pre	104post	104pre	107post	107pre	109post	109pre	111post	111pre	116post	116pre	118post	118pre	119post	119pre	123post	123pre	124post	124pre	127post	127pre	130post	130pre	133post	133pre	138post	138pre	139post	139pre	140post	140pre
fc9eb1f00856480534aa837ca362656e	0	0	30	0	0	13	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	14	0	0	23	12	0	0	0	19	16
a046007bb4a0ce2b32bb1c4dd6ee867b	8	0	0	0	0	46	0	0	0	11	0	24	0	0	34	0	0	0	0	0	0	0	64	78	0	0	0	26	42	22	0	13
35d6e8016653cf59aefb5ab6ad2d2cf8	12	6	0	0	0	0	0	0	0	14	0	0	15	18	0	50	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
ba4ef1fb0ba117b6a045541fc553be6f	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	28	0	0	0	0	0	0	18	0	0	0
f0d3ad42c3754a9af2c18ab6f102bb28	0	0	44	31	0	0	0	0	34	5	0	0	42	5	0	23	10	0	0	0	0	0	9	17	0	0	25	19	49	37	0	0
226097bd7a1661a286a3b62d1c1f0e3a	162	11	0	0	0	0	0	0	0	0	86	5	0	0	0	0	0	0	0	0	0	0	0	0	35	40	0	0	0	0	0	8
44032c281fd07bb43e90cb6ca1cfad2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	30	0	0	0	0	0	0	0	0	0	0	0	49
df5f8e6f57731f52381392871de418d1	0	0	29	23	0	0	204	49	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e0b12a002f66a631d7db3322d42f4d6a	0	0	11	0	64	13	3	4	10	0	10	0	14	0	2	10	0	13	0	0	0	0	0	0	5	38	5	4	63	20	5	0
0db5d53458bf68ab4f3ca669bff9b5f3	139	0	0	0	0	0	0	0	0	0	0	0	4	80	0	0	0	0	0	3	0	0	0	22	0	0	11	0	0	7	0	7
a5b412c80c0409d344def7b47bd83821	62	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7fca37e4e8e94eadce3b68ea6b31be77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e0cf2990d3c1b967f22b595403e1578	0	0	27	0	35	16	29	0	0	0	0	0	4	5	0	0	0	16	0	0	9	0	18	0	35	38	18	0	0	0	14	0
ca3443e661e5449316a88cdc505f6506	19	0	0	0	31	12	18	8	0	0	0	0	0	0	10	0	0	33	61	14	0	0	0	0	36	11	20	0	26	0	24	0
e1aebe7c9c9145642a671f69b44ec69c	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	34	0	0	0	0	0	0	0	0	0	0	0	0
2e60a2b63ef994fe9a9f8de5efe538c2	0	0	8	0	0	0	3	0	5	0	58	0	0	0	0	0	0	10	5	0	0	0	0	17	40	8	0	0	0	0	16	0
dda4ffcaa0f0152f815fb83b3964f0c0	0	0	0	12	30	23	26	0	14	0	0	21	0	0	0	0	0	0	15	6	12	14	0	0	0	0	12	0	14	0	0	0
f32d3aae7b61b9034d192794f30bdd28	0	0	0	0	15	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
23f2efb78b7f6c9aff864c54df3e9f9a	0	0	0	0	8	31	14	13	0	6	0	0	10	0	0	0	25	139	0	19	8	12	0	0	0	0	0	10	0	0	0	0
